mooring_id,deployment_number,mooring_folder,has_ctd_file,has_no3_file,has_oxygen_file,file_ctd,file_no3,file_oxygen
CCE1,2,CCE1,False,True,False,,OS_CCE1_02_D_NO3.nc,
CCE1,4,CCE1,False,True,False,,OS_CCE1_04_D_NO3.nc,
CCE1,5,CCE1,False,True,False,,OS_CCE1_05_D_NO3.nc,
CCE1,8,CCE1,True,True,False,OS_CCE1_08_D_CTD.nc,OS_CCE1_08_D_NO3.nc,
CCE1,9,CCE1,True,True,True,OS_CCE1_09_D_CTD.nc,OS_CCE1_09_D_NO3.nc,OS_CCE1_09_D_OXYGEN.nc
CCE1,10,CCE1,True,True,True,OS_CCE1_10_D_CTD.nc,OS_CCE1_10_D_NO3.nc,OS_CCE1_10_D_OXYGEN.nc
CCE1,11,CCE1,True,True,True,OS_CCE1_11_D_CTD.nc,OS_CCE1_11_D_NO3.nc,OS_CCE1_11_D_OXYGEN.nc
CCE1,12,CCE1,True,True,True,OS_CCE1_12_D_CTD.nc,OS_CCE1_12_D_NO3.nc,OS_CCE1_12_D_OXYGEN.nc
CCE1,13,CCE1,True,True,True,OS_CCE1_13_D_CTD.nc,OS_CCE1_13_D_NO3.nc,OS_CCE1_13_D_OXYGEN.nc
CCE1,14,CCE1,True,True,True,OS_CCE1_14_D_CTD.nc,OS_CCE1_14_D_NO3.nc,OS_CCE1_14_D_OXYGEN.nc
CCE1,15,CCE1,True,True,True,OS_CCE1_15_D_CTD.nc,OS_CCE1_15_D_NO3.nc,OS_CCE1_15_D_OXYGEN.nc
CCE1,16,CCE1,True,True,True,OS_CCE1_16_D_CTD.nc,OS_CCE1_16_D_NO3.nc,OS_CCE1_16_D_OXYGEN.nc
CCE1,17,CCE1,True,True,True,OS_CCE1_17_D_CTD.nc,OS_CCE1_17_D_NO3.nc,OS_CCE1_17_D_OXYGEN.nc
CCE2,1,CCE2,False,True,False,,OS_CCE2_01_D_NO3.nc,
CCE2,2,CCE2,False,True,False,,OS_CCE2_02_D_NO3.nc,
CCE2,3,CCE2,False,True,False,,OS_CCE2_03_D_NO3.nc,
CCE2,4,CCE2,False,True,False,,OS_CCE2_04_D_NO3.nc,
CCE2,5,CCE2,True,True,True,OS_CCE2_05_D_CTD.nc,OS_CCE2_05_D_NO3.nc,OS_CCE2_05_D_OXYGEN.nc
CCE2,6,CCE2,True,False,True,OS_CCE2_06_D_CTD.nc,,OS_CCE2_06_D_OXYGEN.nc
CCE2,7,CCE2,True,True,True,OS_CCE2_07_D_CTD.nc,OS_CCE2_07_D_NO3.nc,OS_CCE2_07_D_OXYGEN.nc
CCE2,8,CCE2,True,True,True,OS_CCE2_08_D_CTD.nc,OS_CCE2_08_D_NO3.nc,OS_CCE2_08_D_OXYGEN.nc
CCE2,9,CCE2,True,True,True,OS_CCE2_09_D_CTD.nc,OS_CCE2_09_D_NO3.nc,OS_CCE2_09_D_OXYGEN.nc
CCE2,10,CCE2,True,True,True,OS_CCE2_10_D_CTD.nc,OS_CCE2_10_D_NO3.nc,OS_CCE2_10_D_OXYGEN.nc
CCE2,11,CCE2,True,True,True,OS_CCE2_11_D_CTD.nc,OS_CCE2_11_D_NO3.nc,OS_CCE2_11_D_OXYGEN.nc
CCE2,12,CCE2,True,True,True,OS_CCE2_12_D_CTD.nc,OS_CCE2_12_D_NO3.nc,OS_CCE2_12_D_OXYGEN.nc
CCE2,13,CCE2,True,True,True,OS_CCE2_13_D_CTD.nc,OS_CCE2_13_D_NO3.nc,OS_CCE2_13_D_OXYGEN.nc
CCE2,14,CCE2,True,True,True,OS_CCE2_14_D_CTD.nc,OS_CCE2_14_D_NO3.nc,OS_CCE2_14_D_OXYGEN.nc
CCE2,15,CCE2,True,True,True,OS_CCE2_15_D_CTD.nc,OS_CCE2_15_D_NO3.nc,OS_CCE2_15_D_OXYGEN.nc
CCE2,16,CCE2,True,True,True,OS_CCE2_16_D_CTD.nc,OS_CCE2_16_D_NO3.nc,OS_CCE2_16_D_OXYGEN.nc
CCE2,17,CCE2,True,True,True,OS_CCE2_17_D_CTD.nc,OS_CCE2_17_D_NO3.nc,OS_CCE2_17_D_OXYGEN.nc
