mooring,mooring_folder,latitude,longitude,year,temperature_c_mean,nitrate_umol_l_mean,oxygen_umol_kg_mean
CCE1,CCE1,33.457,-122.52233,2017,16.054876,0.45595867743601415,250.61326595370429
CCE1,CCE1,33.457,-122.52233,2018,15.426307,0.7638886643767441,259.7923871726173
CCE1,CCE1,33.45733,-122.52517,2016,15.621901,0.4809884729547175,265.5805362123851
CCE1,CCE1,33.45765,-122.507107,2024,14.823151,2.491888160847458,259.89458090449733
CCE1,CCE1,33.45765,-122.507107,2025,13.9244585,2.3391059274496957,259.7522641818793
CCE1,CCE1,33.46283,-122.50967,2021,14.151015,3.4412777772497534,266.8779354999335
CCE1,CCE1,33.46283,-122.50967,2022,13.6181965,3.5117213440799038,
CCE1,CCE1,33.46953,-122.54657,2023,15.331914,1.6165819533081458,253.2130511436886
CCE1,CCE1,33.46953,-122.54657,2024,14.714455,0.9518033167460119,254.45443971898789
CCE1,CCE1,33.47099,-122.5451,2022,16.390263,0.6929652371059476,250.9629048361393
CCE1,CCE1,33.47099,-122.5451,2023,13.694383,1.8026254663961927,266.28937835960517
CCE1,CCE1,33.47233,-122.528,2019,16.024694,1.9615650130653914,249.29013297860024
CCE1,CCE1,33.47233,-122.528,2020,13.501905,2.2976089720438115,259.9120125410819
CCE1,CCE1,33.47617,-122.52683,2018,15.914469,0.26618052834180295,244.27302336995308
CCE1,CCE1,33.47617,-122.52683,2019,14.742817,0.992398186701037,240.9451325360242
CCE1,CCE1,33.47733,-122.52883,2016,15.471735,0.854771638320079,166.67933303604931
CCE1,CCE1,33.47733,-122.52883,2017,14.778025,0.8452584305459562,252.3203624134466
CCE2,CCE2,34.301677,-120.811083,2024,12.530166,6.386730847882049,253.37255746109125
CCE2,CCE2,34.30314,-120.80101,2023,16.081333,1.9698831777321184,262.5367930419852
CCE2,CCE2,34.30314,-120.80101,2024,14.2863865,3.922758861678647,251.28598783249507
CCE2,CCE2,34.303973,-120.815728,2024,13.424173,6.050242033211032,250.65518674738698
CCE2,CCE2,34.303973,-120.815728,2025,12.466862,8.13663035654493,251.833859493546
CCE2,CCE2,34.3055,-120.80383,2016,14.688076,5.236540983384863,250.54272638617869
CCE2,CCE2,34.3055,-120.80383,2017,13.483306,1.9499238475274323,258.32758515207934
CCE2,CCE2,34.30552,-120.8024,2022,13.951098,4.36916599087144,254.34653686417332
CCE2,CCE2,34.30552,-120.8024,2023,12.442669,8.962319313187344,250.42114650751205
CCE2,CCE2,34.30717,-120.81383,2021,14.889478,3.2473638388481385,269.0302058661705
CCE2,CCE2,34.30717,-120.81383,2022,12.748888,5.706957868738642,222.54932670363246
CCE2,CCE2,34.3075,-120.8065,2017,11.950503,8.072897944359285,241.2716749375361
CCE2,CCE2,34.3075,-120.80417,2020,14.97348,2.371922060001081,245.80435058338432
CCE2,CCE2,34.3075,-120.80417,2021,12.188565,8.628908921161088,240.9509221368606
CCE2,CCE2,34.30983,-120.81383,2018,14.718529,3.8469997635770152,250.26476051601824
CCE2,CCE2,34.30983,-120.81383,2019,13.6757145,2.8055025182266555,259.2796410874245
CCE2,CCE2,34.31,-120.81383,2019,14.569972,2.798925502745248,248.5093804416786
CCE2,CCE2,34.31,-120.81383,2020,13.799341,4.223161487598064,239.30928232221498
CCE2,CCE2,34.32383,-120.815,2017,15.508751,1.631540093284104,255.39173054420087
CCE2,CCE2,34.32383,-120.815,2018,13.87047,2.8301216125062165,251.9634743531545
