mooring,mooring_folder,latitude,longitude,year_month,temperature_c_mean,nitrate_umol_l_mean,oxygen_umol_kg_mean,n_obs
CCE1,CCE1,33.457,-122.52233,2017-11,15.884866,0.5696689550067884,252.72036665200508,666
CCE1,CCE1,33.457,-122.52233,2017-12,16.207064,0.332660686747974,248.72707097377375,744
CCE1,CCE1,33.457,-122.52233,2018-01,14.923388,0.8515729955200835,255.94315577197577,744
CCE1,CCE1,33.457,-122.52233,2018-02,13.933594,1.4970798710932696,259.0217936783086,672
CCE1,CCE1,33.457,-122.52233,2018-03,13.499612,1.1658050853108057,263.0915802635519,744
CCE1,CCE1,33.457,-122.52233,2018-04,14.701127,0.2971668488940471,261.3280549328173,720
CCE1,CCE1,33.457,-122.52233,2018-05,14.868896,0.3353623046597997,261.02968294968053,744
CCE1,CCE1,33.457,-122.52233,2018-06,15.310572,0.31389417132103387,,720
CCE1,CCE1,33.457,-122.52233,2018-07,15.697859,0.9912031943915879,,744
CCE1,CCE1,33.457,-122.52233,2018-08,17.41236,0.7757905905125682,,744
CCE1,CCE1,33.457,-122.52233,2018-09,17.65604,0.6582750727853376,,720
CCE1,CCE1,33.457,-122.52233,2018-10,16.272585,,,645
CCE1,CCE1,33.45733,-122.52517,2016-04,15.089207,0.3848018138545076,268.669416723727,239
CCE1,CCE1,33.45733,-122.52517,2016-05,14.790775,0.6017813249630753,269.0320239090632,744
CCE1,CCE1,33.45733,-122.52517,2016-06,15.51099,0.3822346036598789,265.95562195971786,720
CCE1,CCE1,33.45733,-122.52517,2016-07,16.112858,0.31802300384402943,262.6004741874387,744
CCE1,CCE1,33.45733,-122.52517,2016-08,16.017538,0.43329542509639174,264.19038775691376,744
CCE1,CCE1,33.45733,-122.52517,2016-09,15.754887,0.5893926879643425,265.6477307217491,720
CCE1,CCE1,33.45733,-122.52517,2016-10,15.923385,0.7406462575049303,264.09276091017995,209
CCE1,CCE1,33.45765,-122.507107,2024-04,14.908888,0.590373610865026,259.879144603481,690
CCE1,CCE1,33.45765,-122.507107,2024-05,14.095291,1.3053830734736096,264.27587307281436,744
CCE1,CCE1,33.45765,-122.507107,2024-06,13.177018,6.5696571671475015,243.54740688949204,720
CCE1,CCE1,33.45765,-122.507107,2024-07,13.571398,5.4510366025552655,255.2251928779273,744
CCE1,CCE1,33.45765,-122.507107,2024-08,14.771039,3.2464558239479113,266.12380390845505,744
CCE1,CCE1,33.45765,-122.507107,2024-09,15.444923,2.048723739716078,267.6286341895594,720
CCE1,CCE1,33.45765,-122.507107,2024-10,16.45267,0.8246062168231785,266.26666424603997,744
CCE1,CCE1,33.45765,-122.507107,2024-11,15.634485,1.175481721956517,257.4541519569247,720
CCE1,CCE1,33.45765,-122.507107,2024-12,15.351993,1.1520429236845255,258.29012614964194,744
CCE1,CCE1,33.45765,-122.507107,2025-01,14.502493,1.7475497863423939,259.3471411940346,744
CCE1,CCE1,33.45765,-122.507107,2025-02,13.395724,3.2029112950174152,258.5758163543802,672
CCE1,CCE1,33.45765,-122.507107,2025-03,13.573536,1.6801414296953543,265.4102146639301,213
