mooring,latitude,longitude,year_span_start,year_span_end,n_years,temp_trend_c_per_year,nitrate_trend_umol_l_per_year
CCE1,33.457,-122.52233,2017,2018,2,,
CCE1,33.45733,-122.52517,2016,2016,1,,
CCE1,33.45765,-122.507107,2024,2025,2,,
CCE1,33.46283,-122.50967,2021,2022,2,,
CCE1,33.46953,-122.54657,2023,2024,2,,
CCE1,33.47099,-122.5451,2022,2023,2,,
CCE1,33.47233,-122.528,2019,2020,2,,
CCE1,33.47617,-122.52683,2018,2019,2,,
CCE1,33.47733,-122.52883,2016,2017,2,,
CCE2,34.301677,-120.811083,2024,2024,1,,
CCE2,34.30314,-120.80101,2023,2024,2,,
CCE2,34.303973,-120.815728,2024,2025,2,,
CCE2,34.3055,-120.80383,2016,2017,2,,
CCE2,34.30552,-120.8024,2022,2023,2,,
CCE2,34.30717,-120.81383,2021,2022,2,,
CCE2,34.3075,-120.8065,2017,2017,1,,
CCE2,34.3075,-120.80417,2020,2021,2,,
CCE2,34.30983,-120.81383,2018,2019,2,,
CCE2,34.31,-120.81383,2019,2020,2,,
CCE2,34.32383,-120.815,2017,2018,2,,
